name,_pac,_sho,_pas,_dri,_def,_phy,_ovr,skills,wf,positions,playstyle_plus,playstyles,att_wr,def_wr
Abdullah Al Shanqeeti,64,33,39,48,53,69,56,2,4,"CB,RB",None,-,Medium,Medium
Abdulrahman Al Yami,82,54,46,58,20,54,56,3,4,"ST,CF,LM",None,-,Medium,Low
Ethan Alagich,76,44,54,59,46,54,56,3,3,"CAM,CDM",None,-,Medium,Medium
Abdihakin Ali,65,47,52,58,48,51,56,2,3,CM,None,-,Medium,Medium
Rahim Ali,81,53,46,56,24,60,56,2,3,"ST,RM,LW,LM",None,RAPID,Medium,Medium
Samuel Amo-Ameyaw,73,54,49,59,28,38,56,3,3,"RW,LM,LW",None,-,Medium,Medium
Jacob Florentin Andersen,73,31,47,46,56,61,56,2,4,"RWB,CB,RB",None,LONG THROW,Low,Medium
Karoy Anderson,71,50,55,62,47,57,56,3,3,CM,None,FLAIR,Medium,Medium
Jaber Asiri,64,56,44,55,23,57,56,2,3,"ST,CF",None,-,Medium,Low
Edison Azcona,67,54,49,64,23,37,56,3,3,"LW,CAM,LM",None,"FINESSE SHOT,TECHNICAL",Medium,Medium
Cammy Ballantyne,64,53,53,57,49,58,56,2,3,"CM,CAM",None,-,Medium,Medium
Kailin Barlow,66,50,52,59,48,57,56,3,3,CAM,None,"TECHNICAL,FLAIR",Medium,Medium
Dawid Barnowski,73,43,53,53,40,58,56,3,3,"RW,RM",None,-,Medium,Medium
Aaron Basenach,73,46,50,56,52,56,56,2,3,"CB,CDM",None,-,Medium,Medium
Ciaran Behan,69,49,52,55,24,47,56,2,3,"RW,RM,CAM,CM",None,-,High,Medium
Alfie Bendle,62,40,50,59,52,59,56,2,3,CDM,None,-,Medium,High
Marvin Benjamins,70,52,49,59,16,58,56,2,3,"ST,CF",None,-,Medium,Medium
Kian Best,65,42,61,52,47,59,56,2,3,"LWB,CB,LB",None,-,Medium,Medium
Victor Bezerra,62,59,40,52,18,54,56,3,4,"ST,CF,LW",None,-,High,Medium
Jake Bickerstaff,73,54,41,55,18,63,56,3,3,"ST,CF",None,-,Medium,Medium
Asbjørn Bøndergaard,57,57,45,52,30,64,56,2,3,"ST,CF",None,-,Medium,Medium
Valentin Borcea,68,50,50,58,43,57,56,2,3,"CAM,CM",None,-,Medium,Medium
Caolán Boyd-Munce,63,52,55,53,45,61,56,2,3,"LWB,CM",None,-,High,Medium
Stijn Bultman,66,39,44,47,54,64,56,2,3,CB,None,-,Medium,Medium
Santiago Castaneda,69,40,53,61,44,53,56,2,4,CM,None,-,Medium,Medium
Carmine Chiappetta,73,52,48,59,17,43,56,2,3,"LW,LM",None,-,Medium,Medium
Richard Chin,75,39,50,54,50,49,56,2,3,"LWB,RB,LB",None,-,Medium,Medium
Farukh Choudhary,76,45,51,56,39,57,56,3,3,"RM,LW,ST,LM",None,"TECHNICAL,ACROBATIC",Medium,Low
Kai Corbett,75,57,43,54,21,52,56,2,2,"ST,CF",None,-,High,Medium
Martim Marques,68,32,50,65,50,40,56,2,2,"LWB,LB",None,-,Medium,Medium
Mark Coyle,60,46,53,58,52,66,56,2,4,"CM,CDM",None,SLIDE TACKLE,Medium,Medium
Darragh Crowley,67,55,51,56,52,54,56,2,3,"RWB,CB,RB",None,-,Medium,Medium
Mauricio Cuevas,72,30,45,54,51,46,56,2,2,"RWB,RB",None,-,Medium,Medium
Cui Qi,63,26,36,41,59,65,56,2,2,"RWB,CB,LWB",None,-,Medium,Medium
Cui Wei,74,52,56,57,51,63,56,2,2,"CM,CDM",None,-,Medium,Medium
Kevin Čustović,70,47,54,56,52,69,56,2,3,"LWB,CB,CM",None,-,Medium,Medium
Marcus Dackers,54,55,39,49,22,73,56,2,2,"ST,CF",None,-,Medium,Medium
Vignesh Dakshinamurthy,73,38,47,52,50,57,56,2,3,"LWB,LB,LM",None,-,Medium,Low
Gabriel David,68,42,51,55,52,56,56,2,2,"RWB,RB,CDM",None,-,Medium,High
Dawyn-Paul Donner,56,24,27,32,58,64,56,2,3,CB,None,-,Medium,Medium
Seiminlen Doungel,82,53,48,55,30,67,56,2,4,"RW,RM",None,RAPID,High,Low
George Dragomir,79,44,50,56,40,45,56,2,2,"RW,ST,RM,CAM",None,RAPID,Medium,Medium
Aaron Drewe,66,30,45,52,51,49,56,2,3,"RWB,RB",None,-,Medium,Medium
Conor Drinan,71,46,51,54,48,65,56,2,3,"CF,LW,LM",None,-,Medium,Medium
Du Yuezheng,59,55,42,56,24,54,56,2,3,"ST,CF",None,-,Medium,Medium
Mischa Eberhard,66,44,53,61,48,47,56,2,3,CM,None,-,Medium,Medium
Evan Eghosa,78,48,53,61,31,43,56,2,3,"RW,ST,CAM",None,-,High,Medium
Max Ejdum,72,40,55,62,41,52,56,2,3,CM,None,-,High,Medium
Nouri El Harmazi,61,49,55,55,48,54,56,3,4,"CAM,CM",None,-,Medium,Medium
Jack Ellis,67,25,42,53,53,63,56,2,3,"RWB,CB,RB",None,-,Medium,Medium
Pascal Fallmann,71,26,46,56,50,53,56,2,2,"RWB,RB",None,-,Medium,Medium
Jayden Fevrier,76,48,49,59,42,69,56,2,3,"LWB,RM,LW,LM",None,-,High,Medium
Charlie Finney,72,46,52,55,50,46,56,2,3,"LWB,CM,LB",None,-,Medium,Medium
Joseph Forde,72,35,47,57,48,58,56,3,3,"LWB,LB",None,TECHNICAL,Medium,Medium
Joe Foulkes,74,25,37,50,54,64,56,2,2,"RWB,CB,RB",None,-,Medium,Medium
Narender Gahlot,66,37,42,43,54,70,56,2,4,"RWB,CB,RB,LB",None,"SLIDE TACKLE,POWER HEADER",Low,Medium
Michael Gallagher,60,41,49,50,53,61,56,2,3,"RWB,CB,RB,CDM",None,-,Low,High
Joseph Gbode,79,53,35,52,18,67,56,2,2,"ST,CF",None,-,Medium,Low
Neal Gibs,76,26,34,52,52,58,56,2,3,"LWB,LB",None,-,Medium,High
Jannik Graf,56,57,40,56,20,47,56,2,3,"ST,CF",None,-,Medium,Medium
Ryan Graydon,67,51,53,56,32,51,56,3,2,"RW,RM,LM",None,TECHNICAL,Medium,Medium
Michał Gurgul,70,29,49,53,55,62,56,2,2,"CB,LB",None,-,Medium,Medium
Ha Seung Un,72,59,41,61,22,56,56,3,3,"RM,LW,CAM,LM",None,RAPID,Medium,Medium
Luke Haakenson,78,54,55,57,43,55,56,2,3,"RM,CM",None,-,High,Medium
Kamron Habibullah,69,53,51,63,27,42,56,3,3,"LW,CAM,LM",None,"FINESSE SHOT,FLAIR,TECHNICAL",Medium,Low
Jad Hakiki,65,51,53,62,49,41,56,3,2,CM,None,"TECHNICAL,FLAIR",Medium,Low
Jordon Hall,51,26,39,40,53,70,56,2,2,CB,None,-,Low,Medium
Han Jong Mu,53,43,54,61,41,50,56,2,3,CM,None,-,Medium,Medium
He Yupeng,73,39,48,56,49,56,56,2,3,"RWB,RB,LB",None,INTERCEPT,High,Medium
Brad Hills,62,25,37,40,55,63,56,2,3,CB,None,-,Medium,Medium
Emil Højlund,62,55,47,55,28,64,56,2,3,"ST,CF",None,-,Medium,Medium
Fabian Holst-Larsen,72,30,44,55,49,52,56,2,3,"RWB,RB",None,-,High,Medium
Huang Jiahui,69,35,46,56,56,60,56,2,3,"CB,CM",None,LONG BALL PASS,Medium,Medium
Mutellip Iminqari,59,45,50,59,45,49,56,3,3,"LM,LW",None,TECHNICAL,High,Medium
Matty Jacob,62,25,42,55,52,57,56,2,3,"LWB,LB",None,-,Medium,Medium
Aniket Jadhav,83,52,47,56,28,65,56,2,4,"RW,LM,LW",None,-,High,Low
Imam Jagne,68,41,50,56,52,65,56,3,2,CDM,None,FLAIR,High,Medium
Douglas James-Taylor,74,54,44,58,28,66,56,2,2,"ST,CF",None,-,Medium,Medium
Leo Jansson,63,31,45,50,54,61,56,2,3,CB,None,-,Medium,Medium
Jeon Byung Kwan,80,57,40,60,15,52,56,3,3,"RW,ST,CF",None,-,High,Medium
Jiang Ning,63,54,59,59,47,53,56,3,3,"CM,CDM",None,RAPID,Medium,Medium
Oliver Jones,61,42,49,51,53,68,56,2,3,"CB,CM,CDM",None,-,Medium,Medium
Jung Ji Hoon,63,51,46,61,22,42,56,3,4,"RM,LW,CAM,LM",None,-,Medium,Medium
Issa Kaloga,71,46,46,62,43,50,56,2,3,"RW,RM,RB",None,-,Medium,Medium
Kang Yoon Gu,63,47,55,59,35,56,56,3,3,"CAM,LW",None,TECHNICAL,Medium,Medium
Naif Kariri,74,34,49,53,50,40,56,2,3,"RWB,RB",None,-,Medium,Medium
Dara Keane,66,48,52,58,51,65,56,2,3,"CAM,CM,CDM",None,-,Medium,Medium
Kipp Keller,56,29,30,32,56,68,56,2,2,CB,None,-,Medium,High
Puitea,63,44,54,61,51,62,56,2,3,"CM,LM,CDM",None,-,Medium,Medium
Kim Dae Woo,60,41,53,58,54,67,56,2,3,CM,None,-,Medium,Medium
Kim Yeon Soo,51,23,29,28,58,61,56,2,2,CB,None,SLIDE TACKLE,Medium,Medium
Kim Gyu Hyeong,65,52,50,59,35,44,56,3,3,"CF,CAM",None,-,High,Medium
Kim Dae Hwan,63,42,44,60,44,47,56,2,3,"RW,RM,LW",None,-,High,Medium
Danu Kinsella-Bishop,66,54,45,57,38,60,56,2,3,"RW,ST,CF",None,FINESSE SHOT,High,Medium
Tim Kloss,67,28,48,44,55,59,56,2,3,"CB,CDM",None,-,Medium,Medium
Jakub Konstantyn,72,57,53,55,24,44,56,2,3,"LW,LB,LM",None,-,High,Medium
Adam Kramarz,71,50,53,59,23,52,56,2,3,"RW,RM,LW",None,-,Medium,Medium
Mikkel Kristensen,74,27,41,48,53,65,56,2,3,"LWB,CB",None,"SLIDE TACKLE,POWER HEADER",Medium,High
Jeroen Krupa,66,56,45,59,22,48,56,2,3,"CF,ST,RM",None,-,Medium,Low
Johan Kury,75,52,47,60,19,50,56,3,3,"RW,RM,ST",None,-,Medium,Medium
Sasha Kuzevski,75,39,46,53,48,61,56,2,3,"RWB,RM,RB",None,-,High,Medium
Ricky Lallawmawma,68,26,40,49,54,64,56,2,3,"LWB,LB",None,-,Medium,High
Li Xiangbin,67,34,51,50,52,53,56,2,3,"CM,CDM",None,-,Medium,Medium
Li Yongjia,54,38,55,57,52,50,56,2,2,CM,None,-,Medium,Medium
Calixte Paul Ligue,72,54,42,54,24,63,56,3,3,"ST,CF",None,-,Medium,Medium
Elvis Lindkvist,63,46,54,60,35,56,56,3,2,"CAM,CM",None,-,Medium,Medium
Luca Lipani,62,44,55,50,52,63,56,2,3,"CM,CDM",None,-,Medium,Medium
Liu Yue,76,50,50,56,35,44,56,2,3,"LW,CM,LM",None,-,Medium,Medium
Liu Jiashen,49,24,25,32,59,73,56,2,3,CB,None,-,Medium,Medium
Pablo Luján,65,41,51,57,41,51,56,2,3,"RW,RM",None,-,Medium,Medium
Magnus Lysholm,59,25,36,41,58,67,56,2,2,"RWB,RB",None,-,Medium,Medium
Théo Magnin,63,33,40,59,54,45,56,2,3,"RWB,RB",None,-,Medium,High
Abdulaziz Makin,70,48,48,60,36,38,56,2,3,"ST,LM,LW",None,-,Medium,Medium
Johan Manzambi,69,45,55,61,53,61,56,2,3,CM,None,-,Medium,Medium
Mohammed Marran,64,56,41,54,20,55,56,2,3,"CF,ST,RM",None,-,Medium,Medium
Dan Martin,67,45,53,57,52,60,56,2,2,"CM,CDM",None,-,Medium,High
Glan Martins,69,48,53,56,50,67,56,2,4,"CM,CDM",None,-,Medium,High
Abdullah Matuq,84,51,46,56,23,59,56,2,3,"RW,ST,CF,RM",None,-,Medium,Low
Evans Maurin,69,56,50,62,19,54,56,3,3,"ST,CF",None,-,Medium,Medium
JJ McKiernan,64,51,55,57,44,60,56,2,2,"ST,CAM",None,-,Medium,Medium
Brian McManus,55,50,56,57,53,60,56,2,2,CM,None,-,Medium,Medium
Aaron McNally,68,48,52,58,52,57,56,3,4,"LWB,RM,RB,LB",None,TECHNICAL,Medium,Medium
Richard Meier,61,55,46,56,18,54,56,2,3,"ST,CF",None,-,High,Low
Steffen Meuer,67,59,51,56,30,63,56,2,4,"RW,RM,ST",None,-,High,Medium
Leny Meyer,60,31,46,57,52,57,56,2,3,"LWB,LB,LM",None,-,Medium,Medium
Zoran Mitrov,73,51,50,58,37,44,56,2,2,CAM,None,-,Medium,Medium
Thoiba Singh Moirangthem,64,39,47,52,52,72,56,2,3,"CB,CDM",None,-,Low,High
Roméo Monticelli,73,30,35,50,55,59,56,2,3,"LWB,CB,LB",None,-,Medium,Medium
John Mountney,42,56,61,59,53,62,56,2,2,"RWB,RB",None,-,Medium,Medium
Muhmet Nebijan,61,36,51,57,53,53,56,2,3,"LWB,LB,LM",None,-,Medium,Medium
Joy Mukena,56,29,35,40,58,60,56,2,2,CB,None,-,Low,Medium
Pascal Müller,61,53,57,58,54,55,56,2,3,CM,None,-,Medium,Medium
Cian Murphy,59,55,49,56,32,58,56,3,3,"ST,CF",None,-,Medium,Medium
Adam Murphy,77,52,54,60,52,59,56,3,3,CM,None,"TIKI TAKA,FLAIR",Medium,Medium
Kelly N'Mai,85,47,49,60,27,38,56,3,3,"RW,RM",None,"TECHNICAL,FLAIR",Medium,Medium
Sivasakthi Narayanan,77,56,48,57,31,46,56,2,4,"ST,CF",None,-,High,Low
Niklas Niehoff,72,54,53,61,31,53,56,2,3,"RW,ST,CF",None,-,Medium,Medium
Tom Nixon,61,29,45,54,53,58,56,2,3,"RWB,RB",None,-,Medium,Medium
Alex Nolan,65,46,53,57,35,49,56,2,3,"RW,RM,LM",None,-,Medium,Medium
Darragh Noone,52,49,53,54,55,55,56,2,3,"RB,CDM",None,-,Medium,Medium
Alan Nuñez,67,27,47,53,54,49,56,2,3,"RWB,RB",None,-,Medium,Medium
Henry Obermeyer,66,36,48,52,55,57,56,2,3,"CB,CDM",None,-,Medium,Medium
Zech Obiero,73,43,51,60,36,45,56,3,3,CAM,None,-,Medium,Medium
Justin Obikwu,83,55,36,52,19,64,56,2,3,"ST,CF",None,-,Medium,Medium
Alfonso Ocampo-Chavez,59,57,43,57,27,47,56,2,3,"ST,CF",None,FINESSE SHOT,Medium,Medium
David Okagbue,63,26,35,39,56,65,56,2,2,CB,None,-,Medium,Medium
Mayka Okuka,69,43,52,62,55,53,56,2,3,CM,None,-,Medium,Medium
Oliver Olsen,67,28,43,52,52,63,56,2,3,"RWB,CB,RB",None,-,Medium,High
Toyosi Olusanya,84,52,40,58,22,43,56,2,3,"ST,CF,LM",None,RAPID,High,Low
Tobi Omole,62,37,45,45,54,66,56,2,2,"CB,LB",None,-,High,Medium
Tyrese Omotoye,80,57,38,57,18,54,56,2,2,"ST,CF",None,-,Medium,Medium
Adriano Onyegbule,73,46,49,63,34,59,56,3,3,CAM,None,-,Medium,Medium
Arquimides Ordoñez,54,56,51,58,25,51,56,3,2,"ST,CF,LW",None,"TECHNICAL,TRIVELA",Medium,Medium
Evan Osam,61,36,47,53,51,67,56,2,2,"LWB,RB,LB",None,-,Medium,High
Trent Ostler,65,55,49,55,44,58,56,2,3,"RWB,ST,CF,RM",None,-,Medium,Medium
Mohamed Oukhattou,69,45,50,66,29,39,56,3,2,"CAM,CM",None,-,Medium,Medium
Timothy Noor Ouma,74,45,55,55,38,61,56,2,2,CAM,None,-,Medium,Medium
Sahil Panwar,67,37,42,45,53,71,56,2,2,"LWB,CB,LB",None,-,Medium,High
Michael Parker,74,30,41,51,55,68,56,2,4,"LWB,CB",None,-,High,Medium
Gabriel Pellegrino,71,38,54,59,53,56,56,2,3,CM,None,-,Medium,Medium
Oliver Pettersson,62,26,40,40,54,63,56,2,3,CB,None,-,Medium,Medium
Piao Taoyu,71,44,55,59,42,54,56,2,2,"RM,CM",None,LONG BALL PASS,Medium,Low
James Plant,72,31,47,57,49,46,56,2,3,"RWB,CM,RB",None,-,Medium,Medium
Filip Przybułek,63,46,58,56,49,50,56,2,3,CM,None,-,Medium,Medium
Sebastian Quirk,74,52,56,61,51,56,56,2,2,CM,None,-,Medium,Medium
Junior Quitirna,63,48,53,61,41,37,56,2,3,"RW,RM,CAM",None,-,Medium,Medium
Mohammed Rafique,67,47,52,54,48,58,56,2,2,"RWB,RM,CM,RB",None,-,Medium,High
Liam Ravenhill,64,43,51,57,55,66,56,2,4,CM,None,-,Medium,High
Filip Rejczyk,64,45,56,51,52,68,56,2,2,"CM,CDM",None,-,Medium,Medium
Rico Richards,68,49,51,59,26,45,56,2,3,"RM,LW,LM",None,-,Medium,Medium
Sean Robertson,80,45,48,55,49,47,56,3,3,"RWB,RB",None,-,High,Medium
Darren Robinson,63,42,52,59,56,56,56,2,3,"CM,CDM",None,-,Medium,High
Bogdan Rotar,71,55,46,58,25,49,56,3,3,"RW,RM",None,-,Medium,Medium
Filip Rózga,75,43,53,56,25,50,56,3,3,"LW,LM",None,-,Medium,Low
Juan Rubiano,67,42,59,55,36,54,56,2,3,CAM,None,-,Medium,Medium
Aakash Sangwan,68,36,47,50,52,56,56,2,4,"LWB,LB",None,-,Medium,High
Joshua Seberry,62,27,42,44,56,58,56,2,2,CB,None,-,Medium,High
Maximilian Sellinger,65,32,49,51,55,56,56,2,3,CDM,None,-,Medium,Medium
Shang Yin,72,43,50,62,45,62,56,3,3,"RW,RM",None,-,High,Medium
Vikram Singh,79,53,48,58,24,48,56,2,3,"RW,ST,RM,LW",None,-,Medium,Medium
Boris Singh,77,46,50,57,49,46,56,2,4,"RW,RM,RB,LM",None,-,Medium,High
Ronald Sithole,85,53,46,53,31,60,56,2,2,"RW,ST,CF,LW",None,-,Medium,High
Jack Skahan,64,47,57,57,42,60,56,2,3,CM,None,-,High,Medium
Vegard Solheim,73,39,50,57,52,54,56,2,3,"RWB,CB,RB",None,-,Medium,Medium
Oscar Solnørdal,63,46,53,56,53,55,56,2,2,CM,None,-,Medium,Medium
Jakub Stec,58,40,49,49,55,58,56,2,2,CDM,None,-,Medium,Medium
Elliot Stroud,74,38,47,54,45,57,56,2,3,"LWB,LB",None,-,Medium,Medium
Sun Qinhan,61,34,44,58,52,55,56,2,3,"RWB,RM,RB",None,-,Low,Medium
Sun Zheng'ao,53,29,41,35,56,59,56,2,3,CB,None,-,Low,Medium
Nim Dorjee Tamang,68,26,42,45,54,69,56,2,2,"CB,RB",None,-,Medium,High
Aljaž Tavčar,55,26,34,37,55,71,56,2,2,CB,None,-,Medium,Medium
Emre Tezgel,68,59,40,56,18,48,56,2,2,"ST,CF",None,FINESSE SHOT,High,Medium
Dagur Dan Þór­halls­son,64,50,56,57,45,59,56,3,3,"CM,CDM",None,TRIVELA,Medium,Medium
Junior Tiensia,77,32,43,56,47,59,56,2,3,"LWB,LB",None,-,High,Medium
Mert Yusuf Torlak,59,49,54,63,32,39,56,2,3,CAM,None,-,Medium,Medium
Niko Tsakiris,67,34,54,62,32,48,56,4,3,"CAM,CM",None,TECHNICAL,High,Medium
Ethon Varian,60,54,48,57,21,57,56,2,2,"ST,CF",None,FLAIR,Medium,Medium
Luis Vásquez,67,46,55,59,36,38,56,3,2,CM,None,-,Medium,Medium
Lewis Walker,69,54,39,53,25,57,56,2,2,"ST,CF",None,-,Medium,Medium
Wang Yaopeng,63,27,34,49,56,66,56,2,2,CB,None,-,Medium,Medium
Wang Yang,63,33,45,47,56,59,56,2,2,CB,None,-,Low,Medium
Wang Yu,60,38,50,53,49,53,56,2,3,"CM,CDM",None,-,Medium,Medium
Suresh Wangjam,83,38,51,58,49,73,56,2,3,"CM,CDM",None,RELENTLESS,Medium,Medium
Reece Welch,57,24,30,30,55,65,56,2,3,CB,None,-,Medium,Medium
Harry Williams,58,24,34,36,54,69,56,2,2,CB,None,-,Medium,Medium
Charlie Winfield,74,28,40,51,51,54,56,2,3,"LWB,LB,CDM",None,-,Medium,Medium
Tyler Wolff,72,44,56,59,36,50,56,2,3,"CF,CM,LW",None,WHIPPED PASS,Medium,Medium
Max Woltman,67,54,49,60,21,46,56,2,3,"ST,CAM",None,-,Medium,Low
Harry Wood,60,49,59,58,49,54,56,2,3,"CDM,CM,CAM",None,-,Medium,Medium
Marco Wörner,68,52,49,57,42,57,56,2,3,CAM,None,-,High,Medium
Marcel Wszołek,55,37,50,50,53,59,56,2,3,"RWB,RB,CDM",None,-,Medium,Medium
Wu Guichao,78,43,49,60,42,41,56,3,2,"RW,CM,LM,LW",None,-,High,Medium
Xu Yang,62,55,55,57,57,57,56,3,3,"RW,LW,LB,LM",None,-,Medium,Medium
Yang Chaosheng,83,52,42,62,45,52,56,2,2,"RW,RM,RB",None,-,Medium,Medium
Yang Dong Hyen,35,59,51,53,25,53,56,2,3,"ST,CF",None,POWER HEADER,High,Low
Yang Yilin,58,42,56,57,39,48,56,2,3,"RM,LW,LM",None,"ANTICIPATE,SLIDE TACKLE",Medium,Medium
Jonny Yull,71,45,50,57,41,52,56,3,4,CAM,None,FINESSE SHOT,Medium,Medium
Zhao Yingjie,65,55,52,52,53,65,56,2,2,"CM,CAM",None,-,Medium,Medium
Adam Zimarino,68,57,49,56,33,56,56,3,3,"CF,ST,RM",None,-,Medium,Medium
Tizian Zimmermann,62,40,53,55,56,54,56,2,3,"CB,CM",None,-,Medium,Medium
Tobi Adeyemo,65,55,38,50,20,56,55,2,3,"ST,CF",None,-,Medium,Medium
Martin Agnarsson,67,42,51,59,47,43,55,3,3,"LWB,LB,LW",None,FLAIR,High,Medium
Johan Persson Åhstedt,65,33,45,57,48,54,55,2,3,"LWB,CB,LB",None,-,Medium,Medium
Khalil Al Absi,75,46,48,56,29,47,55,2,3,"RM,LW,LM",None,-,High,Medium
Abdulrahman Al Enazi,67,35,55,60,47,56,55,2,4,"RM,CM",None,-,Medium,Medium
Firas Al Ghamdi,73,48,50,54,48,53,55,2,3,"RW,RM,CAM",None,-,Medium,Medium
Abdulrahman Al Hajeri,64,39,48,52,52,57,55,2,2,"LWB,LB,CDM",None,-,Medium,Medium
Omar Al Jadaani,70,52,48,56,26,39,55,2,3,"LW,LM",None,-,Medium,Medium
Hassan Al Mohammed,63,41,47,53,50,70,55,3,3,"CM,CDM",None,-,Medium,Medium
Salem Al Najdi,65,25,39,49,53,59,55,2,3,"LWB,LB",None,-,Medium,Medium
Mohammed Al Yami,70,33,45,50,53,68,55,2,3,"CB,CDM",None,-,Low,High
Victor Andersson,74,45,51,60,23,34,55,3,3,"LW,LM",None,TECHNICAL,Medium,Medium
Devin Angleberger,62,41,55,56,57,48,55,2,3,"CM,CDM",None,-,Medium,Medium
Alexander Aoraha,66,44,55,57,46,53,55,2,3,CM,None,-,Medium,High
Nathan Asiimwe,76,33,43,50,50,64,55,2,3,"RWB,CB,RB",None,-,High,High
Ali Auglah,73,49,48,58,31,53,55,3,3,"RW,RM,ST,LM",None,TECHNICAL,Medium,Medium
Taha Ayari,75,47,49,62,27,39,55,3,3,"LW,LM",None,-,Medium,Medium
Alex Badolato,69,52,49,59,42,56,55,3,3,"ST,CAM",None,-,Medium,Medium
Reed Baker-Whiting,66,48,51,56,51,55,55,3,5,"RWB,RM,RB",None,-,Medium,Medium
Kofi Balmer,64,31,41,46,54,61,55,2,3,CB,None,-,Medium,Medium
Cian Bargary,69,48,48,56,46,60,55,3,3,"RW,RM",None,RAPID,High,Medium
Vincy Barretto,88,46,48,57,24,47,55,2,3,"RW,RM,LM",None,QUICK STEP,High,Medium
Kaare Barslund,70,22,38,44,55,53,55,2,3,"CB,RB",None,-,Medium,Medium
Bryant Bilongo,64,29,33,49,54,48,55,2,3,"LWB,LB",None,-,Medium,Medium
Scott Bitsindou,43,36,51,50,52,59,55,2,2,"CB,CDM",None,-,Low,High
Noah Blasucci,58,54,42,60,23,35,55,2,2,"ST,CF",None,-,Medium,Medium
Luca Bolay,68,38,48,54,49,43,55,2,3,"LWB,LB,LM",None,-,Medium,Medium
Alex Bonetig,62,29,43,48,52,67,55,2,3,"CB,CDM",None,-,Medium,Medium
Gary Boylan,57,33,44,53,54,63,55,2,4,"RWB,RB",None,-,High,High
Rhys Bozinovski,78,43,50,60,49,56,55,2,3,"CM,CDM",None,-,Medium,Medium
Seán Brennan,67,47,56,58,48,53,55,3,4,"CDM,CM,CAM",None,"TECHNICAL,FLAIR",Medium,Medium
Mark Byrne,59,46,55,57,37,50,55,3,3,"RM,CAM",None,-,Medium,Medium
Ciprian Călugăr,74,41,47,52,46,54,55,3,3,"LWB,RM,LB",None,-,High,Medium
Iulian Codrin Cărăușu,71,53,45,57,22,57,55,3,3,"RW,ST,RM",None,-,Medium,Low
Theo Chapman,75,47,52,59,33,48,55,3,3,CAM,None,-,High,Medium
Pratik Chaudhari,55,25,32,42,52,73,55,2,2,CB,None,-,Low,Medium
Cheng Changcheng,56,55,39,51,31,68,55,2,3,"ST,CF",None,-,High,Low
Cho Jae Hun,66,46,48,60,23,37,55,3,3,"LW,LM",None,TECHNICAL,Medium,Medium
Ionuț Cojocaru,69,53,52,54,25,56,55,2,2,"RW,RM",None,-,Medium,Medium
George Cooper,63,37,44,48,54,60,55,2,2,CB,None,-,Medium,High
Dominic Corness,65,45,57,55,45,46,55,3,4,"CM,CDM",None,-,Medium,Medium
Brandan Craig,65,38,49,55,54,61,55,2,3,"CB,CDM",None,-,Medium,Medium
Rasmus Cronvall,72,56,41,53,20,45,55,2,3,"ST,CF",None,-,Medium,Medium
Cui Ming'an,58,42,56,51,52,63,55,2,3,"CM,CDM",None,-,Low,High
Noah De Queiroz,66,24,32,41,54,64,55,2,3,CB,None,-,Medium,Medium
Chris Donnell,63,47,52,56,48,65,55,2,3,"CM,CDM",None,-,Medium,Medium
Djovkar Doudaev,65,22,41,43,53,60,55,2,3,CB,None,-,Medium,Medium
Erik Dueñas,72,36,52,63,51,38,55,2,2,"CM,RB",None,-,Medium,High
Courtney Duffus,64,53,45,54,28,59,55,2,2,"ST,CF",None,-,Medium,Low
Luke Duzel,68,40,52,58,43,48,55,2,3,"ST,CM",None,-,Medium,Medium
Jamie Egan,52,25,36,41,54,67,55,2,3,CB,None,-,Medium,Medium
Ramiro Eguez,62,54,44,55,17,47,55,2,3,"ST,CF",None,-,Medium,Low
Tope Fadahunsi,67,56,44,58,19,60,55,2,2,"ST,CF",None,-,Medium,Medium
Danish Farooq,69,52,52,55,35,59,55,2,3,"CAM,LM,CM",None,-,Low,Medium
Alexander Fesshaie,74,53,46,62,25,44,55,3,3,"RW,ST,CF",None,-,Medium,Medium
James Gale,67,52,47,54,36,69,55,3,3,"ST,CF",None,TECHNICAL,Medium,Medium
Christian Gammelgaard,74,51,50,57,36,50,55,2,3,"RW,RM,ST",None,-,Medium,Low
Samuel Garzón,63,56,40,53,20,44,55,2,3,"ST,CF",None,-,High,Medium
Shahzat Ghojaehmet,77,41,45,61,35,49,55,2,3,"LM,LW",None,-,Medium,Medium
Ian Godoy,57,45,55,55,39,43,55,2,2,CM,None,-,Medium,Medium
Leonard Grob,71,51,49,58,51,57,55,2,3,"CM,CDM",None,-,Medium,Medium
Jonas Häkkinen,46,32,38,42,56,58,55,2,2,CB,None,-,Medium,Medium
Rayan Hamed,62,27,45,49,54,63,55,2,3,"CB,RB",None,-,Medium,Medium
Calvin Harris,67,52,45,59,33,56,55,2,2,"LW,LM",None,-,Medium,Medium
He Zhenyu,78,54,47,57,22,49,55,3,2,"RW,ST,RM",None,-,High,Medium
Fritiof Hellichius,64,38,55,58,45,57,55,3,2,CM,None,-,Medium,Medium
Aaron Henry,65,47,53,55,47,48,55,2,3,CM,None,-,Medium,Medium
Selmin Hodza,64,46,54,53,50,48,55,2,2,"RWB,RM,RB",None,-,Low,Medium
Jannik Hofmann,67,33,42,52,50,56,55,2,3,"RWB,RB",None,-,Medium,Medium
Louie Holzman,59,25,31,38,56,59,55,2,2,CB,None,-,Medium,Medium
